measured_on,poa_irradiance_o_149574
2024-03-05 09:20:00,232.0
2024-03-05 09:25:00,237.8
2024-03-05 09:30:00,344.2
2024-03-05 09:35:00,250.7
2024-03-05 09:40:00,264.6
2024-03-05 09:45:00,226.9
2024-03-05 09:50:00,213.0
2024-03-05 09:55:00,258.8
2024-03-05 10:00:00,405.8
2024-03-05 10:05:00,267.1
2024-03-05 10:10:00,350.9
2024-03-05 10:15:00,336.7
2024-03-05 10:20:00,217.1
2024-03-05 10:25:00,187.9
2024-03-05 10:30:00,194.2
2024-03-05 10:35:00,209.1
2024-03-05 10:40:00,237.6
2024-03-05 10:45:00,243.8
2024-03-05 10:50:00,189.2
2024-03-05 10:55:00,163.1
2024-03-05 11:00:00,216.5
2024-03-05 11:05:00,263.2
2024-03-05 11:10:00,332.1
2024-03-05 11:15:00,274.8
2024-03-05 11:20:00,162.6
2024-03-05 11:25:00,149.8
2024-03-05 11:30:00,116.7
2024-03-05 11:35:00,146.0
2024-03-05 11:40:00,125.2
2024-03-05 11:45:00,126.2
2024-03-05 11:50:00,168.1
2024-03-05 11:55:00,296.9
2024-03-05 12:00:00,278.4
2024-03-05 12:05:00,259.3
2024-03-05 12:10:00,189.3
2024-03-05 12:15:00,153.5
2024-03-05 12:20:00,176.9
2024-03-05 12:25:00,222.6
2024-03-05 12:30:00,230.3
2024-03-05 12:35:00,173.3
2024-03-05 12:40:00,188.8
2024-03-05 12:45:00,223.6
2024-03-05 12:50:00,317.0
2024-03-05 12:55:00,295.5
2024-03-05 13:00:00,245.6
2024-03-05 13:05:00,383.4
2024-03-05 13:10:00,212.5
2024-03-05 13:15:00,261.4
2024-03-05 13:20:00,255.3
2024-03-05 13:25:00,184.2
2024-03-05 13:30:00,149.4
2024-03-05 13:35:00,248.7
2024-03-05 13:40:00,233.3
2024-03-05 13:45:00,293.8
2024-03-05 13:50:00,229.9
2024-03-05 13:55:00,175.1
2024-03-05 14:00:00,134.4
2024-03-05 14:05:00,135.1
2024-03-05 14:10:00,153.0
2024-03-05 14:15:00,232.8
2024-03-05 14:20:00,155.9
2024-03-05 14:25:00,147.5
2024-03-05 14:30:00,163.1
2024-03-05 14:35:00,248.8
2024-03-05 14:40:00,183.8
2024-03-05 14:45:00,119.9
2024-03-05 14:50:00,122.2
2024-03-05 14:55:00,261.0
2024-03-05 15:00:00,293.6
2024-03-05 15:05:00,319.2
2024-03-05 15:10:00,370.7
2024-03-05 15:15:00,225.6
2024-03-05 15:20:00,181.2
2024-03-05 15:25:00,158.8
2024-03-05 15:30:00,129.7
2024-03-05 15:35:00,130.1
2024-03-05 15:40:00,157.6
2024-03-05 15:45:00,209.0
2024-03-05 15:50:00,109.2
2024-03-05 15:55:00,119.3
2024-03-05 16:00:00,130.2
2024-03-05 16:05:00,228.2
2024-03-05 16:10:00,173.9
2024-03-05 16:15:00,153.5
2024-03-05 16:20:00,165.3
2024-03-05 16:25:00,126.7
2024-03-05 16:30:00,135.9
2024-03-05 16:35:00,107.1
2024-03-05 16:40:00,121.6
