event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
135,1,2018-09-25 08:25,2018-09-25 09:10,50,0.2959,0.0,0.2071,0.05,-0.03
136,1,2018-09-25 09:45,2018-09-25 09:55,15,0.3975,0.0,0.2782,0.05,-0.03
137,1,2018-09-25 10:40,2018-09-25 10:50,15,0.5246,0.0,0.3672,0.05,-0.03
138,1,2018-09-25 11:35,2018-09-25 13:15,105,0.6342,0.0,0.4439,0.05,-0.03
139,1,2018-09-25 13:55,2018-09-25 14:55,65,0.5854,0.0,0.4098,0.05,-0.03
140,1,2018-09-25 15:35,2018-09-25 15:45,15,0.4605,0.0,0.3223,0.05,-0.03
141,1,2018-10-07 14:00,2018-10-07 14:10,15,0.8364,0.0,0.5855,0.05,-0.03
142,1,2018-10-11 07:15,2018-10-11 07:45,35,0.0811,0.0,0.0568,0.05,-0.03
143,1,2018-10-11 11:00,2018-10-11 11:10,15,0.6421,0.0,0.4495,0.05,-0.03
144,1,2018-10-11 11:50,2018-10-11 12:25,40,0.7212,0.0,0.5048,0.05,-0.03
145,1,2018-10-11 13:15,2018-10-11 13:40,30,0.797,0.0,0.5579,0.05,-0.03
146,1,2018-10-11 15:25,2018-10-11 15:40,20,0.5906,0.0,0.4134,0.05,-0.03
147,1,2018-10-11 17:10,2018-10-11 17:30,25,0.2002,0.0,0.1401,0.05,-0.03
148,1,2018-10-15 07:15,2018-10-15 07:45,35,0.0734,0.0,0.0514,0.05,-0.03
149,1,2018-10-15 09:00,2018-10-15 09:20,25,0.4204,0.0,0.2943,0.05,-0.03
150,1,2018-10-15 10:00,2018-10-15 10:10,15,0.5412,0.0,0.3788,0.05,-0.03
151,1,2018-10-15 10:45,2018-10-15 11:50,70,0.7068,0.0,0.4948,0.05,-0.03
152,1,2018-10-15 12:45,2018-10-15 13:50,70,0.7376,0.0,0.5163,0.05,-0.03
153,1,2018-10-15 14:50,2018-10-15 15:55,70,0.6029,0.0,0.422,0.05,-0.03
154,1,2018-10-15 16:50,2018-10-15 17:15,30,0.2518,0.0,0.1763,0.05,-0.03
155,1,2018-10-16 07:20,2018-10-16 07:45,30,0.0721,0.0,0.0505,0.05,-0.03
156,1,2018-10-16 10:20,2018-10-16 10:45,30,0.6389,0.0,0.4472,0.05,-0.03
157,1,2018-10-16 11:20,2018-10-16 13:35,140,0.7797,0.0,0.5458,0.05,-0.03
158,1,2018-10-16 14:10,2018-10-16 14:50,45,0.702,0.0,0.4914,0.05,-0.03
159,1,2018-10-16 15:35,2018-10-16 16:30,60,0.5005,0.0,0.3503,0.05,-0.03
160,1,2018-10-22 07:20,2018-10-22 08:10,55,0.1674,0.0,0.1172,0.05,-0.03
161,1,2018-10-22 09:45,2018-10-22 09:55,15,0.4695,0.0,0.3286,0.05,-0.03
162,1,2018-10-22 10:50,2018-10-22 14:25,220,0.6787,0.0,0.4751,0.05,-0.03
163,1,2018-10-22 15:10,2018-10-22 16:50,105,0.5087,0.0,0.3561,0.05,-0.03
164,1,2018-10-25 07:30,2018-10-25 08:10,45,0.07,0.0,0.049,0.05,-0.03
165,1,2018-10-25 08:50,2018-10-25 09:00,15,0.1953,0.0,0.1367,0.05,-0.03
166,1,2018-10-25 11:30,2018-10-25 12:05,40,0.7217,0.0,0.5052,0.05,-0.03
167,1,2018-10-25 12:50,2018-10-25 13:00,15,0.7655,0.0,0.5358,0.05,-0.03
168,1,2018-10-25 14:05,2018-10-25 14:45,45,0.7115,0.0,0.498,0.05,-0.03
169,1,2018-10-25 15:45,2018-10-25 15:55,15,0.4054,0.0,0.2838,0.05,-0.03
170,1,2018-10-26 08:15,2018-10-26 11:15,185,0.5795,0.0,0.4056,0.05,-0.03
171,1,2018-10-26 13:35,2018-10-26 13:55,25,0.7328,0.0,0.513,0.05,-0.03
172,1,2018-10-26 14:55,2018-10-26 15:20,30,0.5673,0.0,0.3971,0.05,-0.03
173,1,2018-10-26 16:00,2018-10-26 16:10,15,0.3282,0.0,0.2297,0.05,-0.03
174,1,2018-10-30 07:00,2018-10-30 08:40,105,0.1649,0.0,0.1154,0.05,-0.03
175,1,2018-10-30 09:25,2018-10-30 14:00,280,0.5154,0.0,0.3608,0.05,-0.03
176,1,2019-01-25 08:40,2019-01-25 08:50,15,0.0513,0.0,0.0359,0.05,-0.03
177,1,2019-01-25 12:55,2019-01-25 13:05,15,0.8738,0.0,0.6117,0.05,-0.03
178,1,2019-01-27 08:20,2019-01-27 08:30,15,0.0688,0.0,0.0482,0.05,-0.03
179,1,2019-01-27 12:40,2019-01-27 12:50,15,0.8338,0.0,0.5837,0.05,-0.03
